id,address,item_id,latitude,longitude,map_type,url,zoom_level
3200,"Bali, Indonesia",4005,-8.3304977,115.0906401,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3200,4
3201,baghdad,1691,33.3024309,44.3787992,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3201,5
3202,washington dc,6554,38.8949855,-77.0365708,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3202,5
3203,"macon, georgia",6413,32.8406946,-83.6324022,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3203,5
3204,jamaica,2184,18.1152958,-77.1598454610168,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3204,5
3205,jamaica,2188,18.1152958,-77.1598454610168,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3205,5
3206,jamaica,1552,18.1152958,-77.1598454610168,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3206,5
3207,"Bethania, Pennsylvania",6939,40.347357,-75.933716,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3207,5
3208,Tahquitz Canyon,7757,33.8230643,-116.5216443,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3208,5
3209,Haight-Ashbury,10535,37.7700148,-122.4469519,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3209,5
3210,acapulco,2768,16.8680495,-99.8940182,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3210,5
3211,"10 South Van Ness Avenue, san francisco, california",3901,37.77409025,-122.41945009010891,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3211,5
3212,paris,6133,48.8566969,2.3514616,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3212,5
3213,kingston,5389,17.9712148,-76.7928128,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3213,5
3214,Haight-Ashbury,10558,37.7700148,-122.4469519,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3214,5
3215,"venice, california",1280,33.995044,-118.4668875,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3215,5
3216,ann arbor,6876,42.2681569,-83.7312291,Leaflet,http://cannabismuseum.com/omeka/api/geolocations/3216,5
